IMO,NAME,TYPE,FLAG,ARRIV/TIME,BERTH,LPOC,NPOC,PORT,ARRI/DATE
9775373,ST CERGUE,BULK CARRIER,SWITZERLAND,925,MW-4,RICHARDS BAY,PORT QASIM,PQA,5/10/2024
9305881,MERATUS JAYAWIJAYA,CONTAINER SHIP,PANAMA,1815,QICT-8,SALALAH,PORT QASIM,PQA,5/10/2024
9494022,ABU AL ABYAD,BULK CARRIER,LIBERIA,1842,FAP ,RAS AL KHAIR,PORT QASIM,PQA,5/10/2024
8922199,RAKAN 5,GENERAL CARGO,COMOROS,1900,FAP ,ADEN,PORT QASIM,PQA,5/10/2024
9175767,XINLONG YUN 58,CONTAINER SHIP,PANAMA,130,EW-6+7,COLOMBO,PORT QASIM,KPT,6/10/2024
9334935,XIN YA ZHOU,CONTAINER SHIP,CHINA,140,SAPT-2,MAPUTO,PORT QASIM,KPT,6/10/2024
9440497,ALIGOTE,OIL/CHEMICAL TANKER,MARSHALL ISLANDS,300,OP-2,NORFOLK,PORT QASIM,KPT,6/10/2024
9243198,SOURCE BLESSING,CONTAINER SHIP,LIBERIA,315,WW-26+27,SHARJAH ANCH,PORT QASIM,KPT,6/10/2024
9519119,BRASILIA HIGHWAY,VEHICLES CARRIER,PANAMA,610,EW-10+11,SINGAPORE,SINGAPORE ANCH,KPT,6/10/2024
9330587,DS OCEAN,OIL/CHEMICAL TANKER,KOREA,1300,EW-1,MUNDRA,KARACHI,KPT,6/10/2024
7206330,UMM AL ANBER,RESEARCH/SURVEY VESSEL,UAE,1830,WW-24,PORT QASIM,KARACHI,KPT,6/10/2024
9341433,OM SINGAPORE,OIL/CHEMICAL TANKER,LIBERIA,1240,LCT,JEBEL ALI,KARACHI,PQA,6/10/2024
9302633,MSC FAIRFIELD,CONTAINER SHIP,PORTUGAL,1900,QICT-9,JEBEL ALI,PQA,PQA,6/10/2024
9721073,CLIPPER TERESA,BULK CARRIER,MARSHALL ISLANDS,110,EW-10+11,KANDLA,KARACHI,KPT,7/10/2024
9286542,PUTUOSHAN,OIL/CHEMICAL TANKER,LIBERIA,300,EW-2,NHAVA SHEVA,KARACHI,KPT,7/10/2024
9350111,OCEAN ENERGY,GENERAL CARGO,PANAMA,1445,EW-16+17,SOHAR,KARACHI,KPT,7/10/2024
9503990,EQUINOX GALINI,BULK CARRIER,CAYMAN ISLANDS,1845,EW-13+14,UMM QASR,KARACHI,KPT,7/10/2024
