IMO,NAME,TYPE,FLAG,ARRIV/TIME,BERTH,LPOC,NPOC,PORT,ARRI/DATE
9053816,AL DIAB II,LPG TANKER,?PALAU,1120,SSGC,PORT-0039,PORT QASIM,PORT-0066,10/8/2024
9295270,PETREL 1,OIL/CHEMICAL TANKER,LIBERIA,1830,LCT,PORT-0081,PORT QASIM,PORT-0066,10/8/2024
9718571,KIRAN CARIBBEAN,BULK CARRIER,MALTA,400,EW-14+15,PORT-0013,KARACHI,PORT-0041,10/9/2024
9337250,ADDISON,CONTAINER SHIP,LIBERIA,410,EW-8+9,PORT-0030,KARACHI,PORT-0041,10/9/2024
9748071,AFRICAN LOON,BULK CARRIER,BAHAMAS,745,WW-24+25,PORT-0054,KARACHI,PORT-0041,10/9/2024
9404883,OOCL JAKARTA,CONTAINER SHIP,HONG KONG,1415,WW-26+27,PORT-0080,KARACHI,PORT-0041,10/9/2024
90856625,AL WAJBAH,LNG TANKER,MARSHALL ISLANDS,1040,EETL,PORT-0068,PORT QASIM,PORT-0066,10/9/2024
9477804,MARATHOPOLIS,CONTAINER SHIP,MALTA,1150,QICT-8,PORT-0057,PORT QASIM,PORT-0066,10/9/2024
9129380,LPG FSM,LPG TANKER,LIBERIA,1206,EVTL,PORT-0040,PORT QASIM,PORT-0066,10/9/2024
9699270,HELSINKI EAGLE,BULK CARRIER,MARSHALL ISLANDS,1440,PIBT,PORT-0051,PORT QASIM,PORT-0066,10/9/2024
9416769,KONG QUE SONG,GENERAL CARGO,SINGAPORE,340,EW-10+11,PORT-0075,KARACHI,PORT-0041,10/10/2024
9687538,CAUTIN,CONTAINER SHIP,LIBERIA,500,SAPT-4,PORT-0035,NHAVA SHEVA,PORT-0041,10/10/2024
9967500,TS KEELUNG,CONTAINER SHIP,MARSHALL ISLANDS,1400,SAPT-3,PORT-0061,KARACHI,PORT-0041,10/10/2024
9193599,POLAR STAR,CHEMICAL TANKER,PANAMA,1435,EW-1,PORT-0094,KARACHI,PORT-0041,10/10/2024
9989560,XT PROSPERITY,OIL/CHEMICAL TANKER,LIBERIA,1615,OP-2,PORT-0023,KARACHI,PORT-0041,10/10/2024
9721073,CLIPPER TERESA,BULK CARRIER,MARSHALL ISLANDS,2300,EW-13+14,PORT-0035,ORDER,PORT-0041,10/10/2024
9700081,CHRISTOS K,BULK CARRIER,MARSHALL ISLANDS,920,MW-2,PORT-0064,ORDER,PORT-0066,10/10/2024
9339856,ATLANTIC IBIS,CONTAINER SHIP,MARSHALL ISLANDS,1248,QICT-9,PORT-0064,KARACHI,PORT-0066,10/10/2024
9737101,BRISTOL TRADER,OIL/CHEMICAL TANKER,PHILIPPINES,1500,EVTL,PORT-0088,PORT QASIM,PORT-0066,10/10/2024
9342700,WAN HAI 316,CONTAINER SHIP,SINGAPORE,1815,QICT-7,PORT-0030,PORT QASIM,PORT-0066,10/10/2024
9305661,HYUNDAI HONGKONG,CONTAINER SHIP,CYPRUS,1815,QICT-8,PORT-0064,HAZIRA,PORT-0066,10/10/2024
9796274,JARU BHUM,CONTAINER SHIP,THAILAND,505,EW-8+9,PORT-0035,SOHAR,PORT-0041,10/11/2024
9339856,ATLANTIC IBIS,CONTAINER SHIP,MARSHALL ISLANDS,510,WW-28+29,PORT-0064,KARACHI,PORT-0041,10/11/2024
9298351,DOLPHIN 08,CHEMICAL TANKER,PANAMA,600,OP-3,PORT-0005,KARACHI,PORT-0041,10/11/2024
9393008,AQUARIUS,OIL/CHEMICAL TANKER,VIETNAM,1545,EW-2,PORT-0034,KARACHI,PORT-0041,10/11/2024
9883742,MARAN GAS KLYMNOS,LNG TANKER,GREECE,1320,PGPCL,PORT-0010,PORT QASIM,PORT-0066,10/11/2024
9185877,AU TAURUS,OIL/CHEMICAL TANKER,PANAMA,1425,LCT,PORT-0057,PORT QASIM,PORT-0066,10/11/2024
9266372,VAN PHONG 1,CRUDE OIL TANKER,VIETNAM,1620,FOTCO,PORT-0030,PORT QASIM,PORT-0066,10/11/2024
9746798,APEX,BULK CARRIER,MARSHALL ISLANDS,1820,MW-1,PORT-0056,PORT QASIM,PORT-0066,10/11/2024
9459163,NORD TAIPEI,GENERAL CARGO,PANAMA,1820,FAP,PORT-0054,PORT QASIM,PORT-0066,10/11/2024
9513830,NOSTROMO,BULK CARRIER,MARSHALL ISLANDS,45,EW-10+11,PORT-0064,KARACHI,PORT-0041,10/12/2024
9967457,X PRESS CASSIOPEIA,CONTAINER SHIP,SINGAPORE,740,SAPT-4,PORT-0064,KARACHI,PORT-0041,10/12/2024
9367827,CMA CGM ZANZIBAR,CONTAINER SHIP,MALTA,820,EW-9+8,PORT-0088,KARACHI,PORT-0041,10/12/2024
7206330,UMM AL ANBER,RESEARCH/SURVEY VESSEL,UAE,900,WW-25,PORT-0030,KARACHI,PORT-0041,10/12/2024
9293246,VIRA BHUM,CONTAINER SHIP,THAILAND,1305,SAPT-3,PORT-0064,KARACHI,PORT-0041,10/12/2024
9235828,EUPHORIA,CONTAINER SHIP,PANAMA,1905,EW-6+7,PORT-0064,PORT QASIM,PORT-0041,10/12/2024
9508938,PVT AURORA,OIL/CHEMICAL TANKER,VIETNAM,915,EVTL,PORT-0088,PORT QASIM,PORT-0066,10/12/2024
9856309,BERGE CATHERINE,BULK CARRIER,PANAMA,942,PIBT,PORT-0030,PORT QASIM,PORT-0066,10/12/2024
9532795,APL ANTWERP,CONTAINER SHIP,MALTA,710,SAPT-3,PORT-0054,KARACHI,PORT-0041,10/13/2024
9085558,KARLSKRONA,CONTAINER SHIP,LIBERIA,720,SAPT-2,PORT-0035,ABU DHABI,PORT-0041,10/13/2024
9196993,ITAL UNIVERSO,CONTAINER SHIP,ITALY,845,WW-28+29,PORT-0035,MUNDRA,PORT-0041,10/13/2024
9428841,SM NAVIGATOR,OIL PRODUCTS TANKER,PANAMA,915,OP-2,PORT-0080,KARACHI,PORT-0041,10/13/2024
9459412,HANSA EUROPE,CONTAINER SHIP,LIBERIA,2035,WW-26+27,PORT-0035,KANDLA,PORT-0041,10/13/2024
9323522,HYUNDAI JAKARTA,CONTAINER SHIP,KOREA,2040,SAPT-4,PORT-0007,KARACHI,PORT-0041,10/13/2024
9691163,SUMMIT SW,BULK CARRIER,PANAMA,2130,EW-11+12,PORT-0075,KARACHI,PORT-0041,10/13/2024
9360453,MARDAN,CRUDE OIL TANKER,PAKISTAN,2145,OP-3,PORT-0035,ORDER,PORT-0041,10/13/2024
9286542,PUTUOSHAN,OIL/CHEMICAL TANKER,LIBERIA,2305,EW-1,PORT-0057,KARACHI,PORT-0041,10/13/2024
9289207,MAERSK SARATOGA,CONTAINER SHIP,USA,1048,QICT-9,PORT-0064,PIPAVAV,PORT-0066,10/13/2024
9842346,ZHONG GU BO HAI,CONTAINER SHIP,CHINA,1325,QICT-7,PORT-0064,KARACHI ANCH,PORT-0066,10/13/2024
9342384,ISABELLA KOSAN,LPG TANKER,SINGAPORE,1418,EVTL,PORT-0097,PORT QASIM,PORT-0066,10/13/2024
9360697,APOLLON D,CONTAINER SHIP,PORTUGAL,1806,QICT-5,PORT-0072,PORT QASIM,PORT-0066,10/13/2024
9427342,KARPATHOS DAWN,BULK CARRIER,MARSHALL ISLANDS,1825,MW-2,PORT-0046,PORT QASIM,PORT-0066,10/13/2024
9887401,SOLAR CATIE,OIL/CHEMICAL TANKER,LIBERIA,1906,LCT,PORT-0046,PORT QASIM,PORT-0066,10/13/2024
9542520,CS CALLA,BULK CARRIER,BAHAMAS,1105,WW-24+25,PORT-0080,KARACHI,PORT-0041,10/14/2024
9718911,YANGZE 7,BULK CARRIER,LIBERIA,1110,EW-14+15,PORT-0012,KARACHI,PORT-0041,10/14/2024
9842346,ZHONG GU BO HAI,CONTAINER SHIP,CHINA,1145,WW-29+30,PORT-0064,KARACHI,PORT-0041,10/14/2024
9395941,NAVIOS BAHAMAS,CONTAINER SHIP,LIBERIA,2200,WW-28+29,PORT-0030,KARACHI,PORT-0041,10/14/2024
9347437,KMTC COLOMBO,CONTAINER SHIP,KOREA,2215,SAPT-4,PORT-0054,KARACHI,PORT-0041,10/14/2024
9336191,INDEPENDENT SPIRIT,CONTAINER SHIP,GERMANY,2250,EW-6+7,PORT-0030,KARACHI,PORT-0041,10/14/2024
9444273,MOL PRESENCE,CONTAINER SHIP,LIBERIA,2355,SAPT-3,PORT-0064,KARACHI,PORT-0041,10/14/2024
9444273,MOL PRESENCE,CONTAINER SHIP,LIBERIA,850,QICT-7,PORT-0060,PORT QASIM,PORT-0066,10/14/2024
9154191,MSC POSITANO,CONTAINER SHIP,LIBERIA,945,QICT-8,PORT-0054,PORT QASIM,PORT-0066,10/14/2024
9255854,MILAHA RAS LAFFAN,LNG TANKER,MALTA,1000,EETL,PORT-0068,PORT QASIM,PORT-0066,10/14/2024
9696474,LEONIDAS,BULK CARRIER,MALTA,1345,PIBT,PORT-0048,PORT QASIM,PORT-0066,10/14/2024
9702728,AGIOS NIKOLAS,BULK CARRIER,MARSHALL ISLANDS,1810,FAP,PORT-0098,PORT QASIM,PORT-0066,10/14/2024
9175535,SC TAIPEI,CRUDE OIL TANKER,HONG KONG,1815,EVTL,PORT-0028,PORT QASIM,PORT-0066,10/14/2024
9294551,HYDRA,CRUDE OIL TANKER,MALTA,1218,SPM,PORT-0023,SPM KARACHI,PORT-0083,10/14/2024
9604110,EVER LEGION,CONTAINER SHIP,SINGAPORE,1045,SAPT-2,PORT-0057,KARACHI,PORT-0083,10/15/2024
9353266,SPIL KARTINI,CONTAINER SHIP,PANAMA,1100,EW-26+27,PORT-0080,KARACHI,PORT-0083,10/15/2024
9467316,CSCL NEPTUNE,CONTAINER SHIP,HONG KONG,2230,SAPT-4,PORT-0038,KARACHI,PORT-0083,10/15/2024
9172753,MAYA GAS 1,LPG TANKER,COMOROS,1030,EVTL,PORT-0039,PORT QASIM,PORT-0066,10/15/2024
9409510,OCEAN PIONEER,OIL/CHEMICAL TANKER,MARSHALL ISLANDS,1036,LCT,PORT-0071,PORT QASIM,PORT-0066,10/15/2024
9408865,MUNDRA EXPRESS,CONTAINER SHIP,LIBERIA,1313,QICT-9,PORT-0054,PORT QASIM,PORT-0066,10/15/2024
9525479,MAERSK CAIRO,CONTAINER SHIP,HONG KONG,1605,QICT-5,PORT-0057,PORT QASIM,PORT-0066,10/15/2024
9254276,HAPPY HERO,GENERAL CARGO,PANAMA,1648,FAP,PORT-0016,PORT QASIM,PORT-0066,10/15/2024
9500106,CLIPPER BRUNELLO,BULK CARRIER,MARSHALL ISLANDS,1110,EW-5,PORT-0053,KARACHI,PORT-0041,10/16/2024
9630365,SEASPAN GANGES,CONTAINER SHIP,HONG KONG,2130,SAPT-1,PORT-0030,KARACHI,PORT-0041,10/16/2024
9262247,VENIZ 1,GENERAL CARGO,COMOROS,2310,EW-17,PORT-0006,KARACHI,PORT-0041,10/16/2024
9877614,SOLAR SHARNA,OIL/CHEMICAL TANKER,MARSHALL ISLANDS,2320,EW-2,PORT-0034,KARACHI,PORT-0041,10/16/2024
9044011,HAJ MOHAMMED,BULK CARRIER,PALAU,918,MW-I,PORT-0064,ORDER,PORT-0066,10/16/2024
9461893,APL QINGDAO,CONTAINER SHIP,MALTA,1150,QICT-9,PORT-0064,NHAVA SHEVA,PORT-0066,10/16/2024
9741530,QING QUAN SHAN,BULK CARRIER,HONG KONG,1206,PIBT,PORT-0014,PORT QASIM,PORT-0066,10/16/2024
9333010,MAERSK KENSINGTON,CONTAINER SHIP,USA,1450,QICT-7,PORT-0030,PORT QASIM,PORT-0066,10/16/2024
9935569,AKTI A,OIL/CHEMICAL TANKER,MALTA,1820,LCT,PORT-0057,PORT QASIM,PORT-0066,10/16/2024
9338802,EM FORTUNE,OIL PRODUCTS TANKER,BELIZE,2235,FOTCO,PORT-0030,PORT QASIM,PORT-0066,10/16/2024
9249594,EASLINE GUANGZHOU,OIL/CHEMICAL TANKER,PANAMA,345,OP-2,PORT-0034,KARACHI,PORT-0041,10/17/2024
9357547,CMA CGM SAIGON,CONTAINER SHIP,MALTA,1200,EW-8+9,PORT-0030,KARACHI,PORT-0041,10/17/2024
9224506,WAN HAI 611,CONTAINER SHIP,LIBERIA,1210,WW-28+29,PORT-0013,KARACHI,PORT-0041,10/17/2024
9270555,QUETTA,CRUDE OIL TANKER,PAKISTAN,1335,OP-3,PORT-0069,KARACHI,PORT-0041,10/17/2024
9278765,KANG YU,BULK CARRIER,CHINA,2215,EW-13+14,PORT-0052,KARACHI,PORT-0041,10/17/2024
9699270,HELSINKI EAGLE,BULK CARRIER,MARSHALL ISLANDS,2255,EW-11+12,PORT-0064,KARACHI,PORT-0041,10/17/2024
9967471,X PRESS PHOENIX,CONTAINER SHIP,SINGAPORE,2330,SAPT-4,PORT-0060,KARACHI,PORT-0041,10/17/2024
9565730,CHEMROAD SEA,OIL/CHEMICAL TANKER,PANAMA,1830,EVTL,PORT-0032,PORT QASIM,PORT-0066,10/17/2024
9856309,BERGE CATHERINE,BULK CARRIER,PANAMA,450,EW-14+15,PORT-0064,KARACHI,PORT-0041,10/18/2024
9967524,X PRESS PISCES,CONTAINER SHIP,SINGAPORE ,1205,SAPT-2,PORT-0057,KARACHI,PORT-0041,10/18/2024
9308508,BEIJING,CONTAINER SHIP,MALTA,2330,SAPT-4,PORT-0060,KARACHI,PORT-0041,10/18/2024
9426142,CURACAO,BULK CARRIER,LIBERIA,1430,PQEPT,PORT-0048,PORT QASIM,PORT-0066,10/18/2024
9565766,SONGA NEPTUNE,OIL/CHEMICAL TANKER,MARSHALL ISLANDS,40,EW-1,PORT-0005,KARACHI,PORT-0041,10/19/2024
9455909,GFS RUBY,CONTAINER SHIP,SINGAPORE,45,EW-8+9,PORT-0030,KARACHI,PORT-0041,10/19/2024
9226700,PANTHERA J,GENERAL CARGO,LIBERIA,1315,WW-21,PORT-0068,KARACHI,PORT-0041,10/19/2024
9282778,TAN BINH 256,BULK CARRIER,PANAMA,1400,EW-4,PORT-0013,KARACHI,PORT-0041,10/19/2024
9154191,MSC POSITANO,CONTAINER SHIP,LIBERIA,824,QICT-9,PORT-0054,PORT QASIM,PORT-0066,10/19/2024
9307179,AL DEEBEL,LNG TANKER,BAHAMAS,942,EETL,PORT-0068,PORT QASIM,PORT-0066,10/19/2024
9374296,FALCON ROYAL,OIL/CHEMICAL TANKER,SINGAPORE,1142,LCT,PORT-0001,PORT QASIM,PORT-0066,10/19/2024
9539482,SAFEEN POWER,CONTAINER SHIP,MARSHALL ISLANDS,100,WW-28+29,PORT-0030,KARACHI,PORT-0041,10/20/2024
9955002,HG BREMEN,BULK CARRIER,LIBERIA,155,EW-16+17,PORT-0008,KARACHI,PORT-0041,10/20/2024
9335836,ELENORE,OIL/CHEMICAL TANKER,PANAMA,210,EW-2,PORT-0018,KARACHI,PORT-0041,10/20/2024
9790610,CHEMROAD AQUA,OIL/CHEMICAL TANKER,LIBERIA,310,OP-2,PORT-0057,KARACHI,PORT-0041,10/20/2024
9393084,BAM BAM,CRUDE OIL TANKER,LIBERIA,325,OP-1,PORT-0050,KARACHI,PORT-0041,10/20/2024
9462043,APL BARCELONA,CONTAINER SHIP,SINGAPORE,1310,SAPT+3,PORT-0038,KARACHI,PORT-0041,10/20/2024
9720081,STOLT EXCELLENCE,OIL/CHEMICAL TANKER,CAYMAN ISLANDS,1345,WW-24+25,PORT-0034,KARACHI,PORT-0041,10/20/2024
9877614,SOLAR SHARNA,OIL/CHEMICAL TANKER,MARSHALL ISLANDS,1820,WW-25,PORT-0034,KARACHI,PORT-0041,10/20/2024
9597501,APL PHOENIX,CONTAINER SHIP,SINGAPORE,1900,SAPT-2,PORT-0030,KARACHI,PORT-0041,10/20/2024
9301976,NAVE CIELO,CRUDE OIL TANKER,CAYMAN ISLANDS,912,FOTCO,PORT-0023,PORT QASIM,PORT-0066,10/20/2024
9285952,LUSAIL,LNG TANKER,BAHAMAS,1105,PGPCL,PORT-0068,PORT QASIM,PORT-0066,10/20/2024
9550266,ALEA,BULK CARRIER,BAHAMAS,1230,FAP,PORT-0005,PORT QASIM,PORT-0066,10/20/2024
9241918,TSS AMBER,CONTAINER SHIP,PANAMA,1450,QICT-8,PORT-0072,PORT QASIM,PORT-0066,10/20/2024
9931537,ELLAN MANX,BULK CARRIER,UNITED KINGDOM,1536,PIBT,PORT-0086,PORT QASIM,PORT-0066,10/20/2024
9496616,YM EXCELLENCE,CONTAINER SHIP,LIBERIA,205,WW-26+27,PORT-0080,KARACHI,PORT-0041,21-10-2024
9323766,T VEGA,OIL/CHEMICAL TANKER,LIBERIA,215,EW-2,PORT-0005,KARACHI,PORT-0041,21-10-2024
9197143,DAEWON,OIL/CHEMICAL TANKER,KOREA,255,OP-3,PORT-0030,KARACHI,PORT-0041,21-10-2024
9596715,OCEAN FEATHER,BULK CARRIER,SINGAPORE,1920,EW-13+14,PORT-0061,KARACHI,PORT-0041,21-10-2024
9732929,CL HUAIYANG,OIL/CHEMICAL TANKER,MARSHALL ISLANDS,1218,LCT,PORT-0057,PORT QASIM,PORT-0066,21-10-2024
9155341,DRAVIN,LPG TANKER,GABON,1155,SSGC,PORT-0039,PORT QASIM,PORT-0066,21-10-2024
9875379,X PRESS ALTAIR,CONTAINER SHIP,SINGAPORE,1610,QICT-5,PORT-0030,PORT QASIM,PORT-0066,21-10-2024
9085558,KARLSKRONA,CONTAINER SHIP,LIBERIA,1615,QICT-9,PORT-0030,PORT QASIM,PORT-0066,21-10-2024
9616113,VALENTINA,BULK CARRIER,LIBERIA,1915,MW-1,PORT-0015,PORT QASIM,PORT-0066,21-10-2024
9304813,XIN CHANG SHU,CONTAINER SHIP,CHINA,300,WW-28+29,PORT-0013,KARACHI,PORT-0041,22-10-2024
9189354,DIMITRIS Y,CONTAINER SHIP,LIBERIA,310,SAPT-4,PORT-0035,ORDER,PORT-0041,22-10-2024
9337250,ADDISON,CONTAINER SHIP,LIBERIA,330,EW-8+9,PORT-0030,KARACHI,PORT-0041,22-10-2024
